algorithm,m,p,q,nb,task-clock(msec),context-switches,cpu-migrations,page-faults,cycles,stalled-cycles-frontend,stalled-cycles-backend,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-loads-misses(% of all L1-dcache hits),frontend cycles idle(%),backend cycles idle(%),branch-misses(%  of all branches)
0,2048,2048,2048,0,18759,1776,6,12383,77917696340,46249511597,117071759,77896870884,8753535906,4795983,39224595131,10273142768,26.19,59.36,0.15,0.05
0,2048,1024,2048,0,3609,335,2,8281,14832091730,1259489201,55552661,38919726435,4349739718,4450861,17359851716,5137728896,26.60,8.49,0.37,0.10
0,1024,2048,1024,0,1826,177,1,5203,7451816950,571977402,24824828,19683661628,2247251830,1336474,8871138498,2552663718,28.77,7.68,0.33,0.06
1,2048,2048,2048,0,1398,134,0,12382,5805643720,8420726,3134511871,17830054184,2316841740,4554579,6797170261,560122974,8.24,0.15,53.99,0.20
1,2048,1024,2048,0,484,47,0,8282,1974496167,6448558,647705581,8895225750,1143437925,2255169,3364741887,276670231,8.22,0.33,32.80,0.20
1,1024,2048,1024,0,251,24,0,5202,1011721040,4298790,307239518,4617727472,603091477,2228396,1765263719,133920149,7.59,0.42,30.37,0.37
2,2048,2048,2048,64,5022,481,1,12381,20630245301,123054705,2927530979,79003787678,8878567895,2564263,34747796348,958176541,2.76,0.60,14.19,0.03
2,2048,1024,2048,64,2538,239,2,8280,10320708433,68044808,1471021306,39517348777,4452029540,1351136,17451950565,477528149,2.74,0.66,14.25,0.03
2,1024,2048,1024,64,1289,125,0,5202,5262322303,32701410,727115750,19846712224,2242700058,737122,8777672088,236855337,2.70,0.62,13.82,0.03
2,2048,2048,2048,128,5334,539,6,12383,21792309896,147758982,2264396091,78244844769,8779564378,67918462,34768610139,912057866,2.62,0.68,10.39,0.77
2,2048,1024,2048,128,2666,249,0,8282,10832653911,66326820,1164433744,39110803112,4375852027,33920682,17351961379,454056982,2.62,0.61,10.75,0.78
2,1024,2048,1024,128,1349,127,0,5202,5474131494,35818248,589523762,19595864076,2215988502,17002508,8759240345,226103715,2.58,0.65,10.77,0.77
2,2048,2048,2048,256,5135,477,1,12383,20965965883,168149488,2572056173,78057185838,8760558990,33952159,34626073881,731647203,2.11,0.80,12.27,0.39
2,2048,1024,2048,256,2558,239,1,8281,10504456821,98306446,1291416050,39001331532,4368716633,17014014,17363392991,366701589,2.11,0.94,12.29,0.39
2,1024,2048,1024,256,1309,192,2,5202,5367974518,56661531,640985712,19707272306,2219898213,8569578,8706862179,180731664,2.08,1.06,11.94,0.39
2,2048,2048,2048,512,5171,480,0,12383,21000296452,267282873,2623691097,77918106808,8747183726,17238042,34683792817,642359387,1.85,1.27,12.49,0.20
2,2048,1024,2048,512,2583,248,1,8280,10492101329,148849589,1300109335,38918043788,4356069516,8583197,17337184225,321888495,1.86,1.42,12.39,0.20
2,1024,2048,1024,512,1307,119,1,5205,5332360502,66110814,631164353,19489820785,2188354304,4322626,8741435237,161464302,1.85,1.24,11.84,0.20
